"","childid","s2_id","w8cf8p_80","w2sch0","nsch","scorevar","score","wave","calYear","acaYear","w1c","w2","w3","w1"
"1",10000046,2006,1226.005825,32.830566,18,"x1mscalk5",49.0361,"1",0,0,1,1226.005825,32.830566,1226.005825
"2",10000075,2006,1226.005825,32.830566,18,"x1mscalk5",55.3255,"1",0,0,1,1226.005825,32.830566,1226.005825
"3",10000129,1756,828.900467,71.831099,15,"x1mscalk5",60.4633,"1",0,0,1,828.900467,71.831099,828.900467
"4",10000248,1906,3654.683577,181.283467,18,"x1mscalk5",35.0484,"1",0,0,1,3654.683577,181.283467,3654.683577
"5",10000279,1088,672.392138,37.162299,15,"x1mscalk5",38.0439,"1",0,0,1,672.392138,37.162299,672.392138
"6",10000281,1066,2888.37666,59.788467,18,"x1mscalk5",50.1368,"1",0,0,1,2888.37666,59.788467,2888.37666
"7",10000282,1555,988.882712,49.461368,18,"x1mscalk5",28.8695,"1",0,0,1,988.882712,49.461368,988.882712
"8",10000323,1088,712.867314,37.162299,15,"x1mscalk5",56.6519,"1",0,0,1,712.867314,37.162299,712.867314
"9",10000337,1843,970.427184999999,12.784643,16,"x1mscalk5",33.8353,"1",0,0,1,970.427184999999,12.784643,970.427184999999
"10",10000429,1033,2358.818343,40.136887,15,"x1mscalk5",58.7793,"1",0,0,1,2358.818343,40.136887,2358.818343
"11",10000487,1088,718.078922,37.162299,15,"x1mscalk5",46.0205,"1",0,0,1,718.078922,37.162299,718.078922
"12",10000554,1555,1761.690437,49.461368,18,"x1mscalk5",38.3491,"1",0,0,1,1761.690437,49.461368,1761.690437
"13",10000620,1543,865.399061,57.501349,17,"x1mscalk5",30.8492,"1",0,0,1,865.399061,57.501349,865.399061
"14",10000656,2006,996.315966,32.830566,18,"x1mscalk5",37.2953,"1",0,0,1,996.315966,32.830566,996.315966
"15",10000719,1302,874.032009999999,37.544854,20,"x1mscalk5",54.3699,"1",0,0,1,874.032009999999,37.544854,874.032009999999
"16",10000773,1843,327.106542,12.784643,16,"x1mscalk5",26.9355,"1",0,0,1,327.106542,12.784643,327.106542
"17",10000864,1088,1825.505831,37.162299,15,"x1mscalk5",47.9866,"1",0,0,1,1825.505831,37.162299,1825.505831
"18",10000883,1247,1274.30179,30.36913,18,"x1mscalk5",40.8242,"1",0,0,1,1274.30179,30.36913,1274.30179
"19",10000893,1377,1557.860744,181.283467,17,"x1mscalk5",43.2372,"1",0,0,1,1557.860744,181.283467,1557.860744
"20",10000920,2006,1226.005825,32.830566,18,"x1mscalk5",83.3937,"1",0,0,1,1226.005825,32.830566,1226.005825
"21",10000936,1033,1323.848258,40.136887,15,"x1mscalk5",32.1059,"1",0,0,1,1323.848258,40.136887,1323.848258
"22",10000992,1017,3228.760025,36.765227,17,"x1mscalk5",37.2221,"1",0,0,1,3228.760025,36.765227,3228.760025
"23",10001048,1521,630.645472,53.744947,15,"x1mscalk5",35.1358,"1",0,0,1,630.645472,53.744947,630.645472
"24",10001083,1906,2202.168468,181.283467,18,"x1mscalk5",25.9148,"1",0,0,1,2202.168468,181.283467,2202.168468
"25",10001099,1746,299.794472,92.9635709999999,17,"x1mscalk5",71.5553,"1",0,0,1,299.794472,92.9635709999999,299.794472
"26",10001101,1937,1071.031962,68.608006,16,"x1mscalk5",40.4459,"1",0,0,1,1071.031962,68.608006,1071.031962
"27",10001156,1937,860.694707,68.608006,16,"x1mscalk5",18.8617,"1",0,0,1,860.694707,68.608006,860.694707
"28",10001244,1218,1993.900846,24.807104,17,"x1mscalk5",35.5873,"1",0,0,1,1993.900846,24.807104,1993.900846
"29",10001253,2302,2261.297566,46.502141,20,"x1mscalk5",41.2238,"1",0,0,1,2261.297566,46.502141,2261.297566
"30",10001325,1937,634.851225,68.608006,16,"x1mscalk5",32.9876,"1",0,0,1,634.851225,68.608006,634.851225
"31",10001367,1247,1029.093527,30.36913,18,"x1mscalk5",45.8667,"1",0,0,1,1029.093527,30.36913,1029.093527
"32",10001377,1302,874.032009999999,37.544854,20,"x1mscalk5",39.3897,"1",0,0,1,874.032009999999,37.544854,874.032009999999
"33",10001477,1302,1173.263352,37.544854,20,"x1mscalk5",43.2174,"1",0,0,1,1173.263352,37.544854,1173.263352
